"stim_condition","acc","Response","RT","participant","Subject","Correct","Stimulus","Chanel1","Chanel2"
2,0,"1","1.0675784000195563",31,31,0,2,0,1
3,1,"3","1.6516242998186499",31,31,1,3,1,1
0,0,"1","1.184317400213331",31,31,0,0,1,0
1,0,"3","0.9171990999020636",31,31,0,1,0,0
3,0,"1","1.4008993001189083",31,31,0,3,1,1
3,1,"3","1.2008084999397397",31,31,1,3,1,1
1,1,"1","1.2007564997766167",31,31,1,1,0,0
2,0,"3","0.9340578000992537",31,31,0,2,0,1
2,1,"2","1.5845608001109213",31,31,1,2,0,1
2,0,"3","0.7001837000716478",31,31,0,2,0,1
1,0,"0","0.8340346999466419",31,31,0,1,0,0
0,0,"3","0.8338923000264913",31,31,0,0,1,0
0,1,"0","1.2011641999706626",31,31,1,0,1,0
1,1,"1","1.0510249000508338",31,31,1,1,0,0
1,0,"3","1.5846451001707464",31,31,0,1,0,0
0,0,"3","1.9515271000564098",31,31,0,0,1,0
2,0,"0","1.0865440000779927",31,31,0,2,0,1
